date,value
1992-01-01,3.458
1992-04-01,3.3944
1992-07-01,3.4326
1992-10-01,3.3813
1993-01-01,3.2811
1993-04-01,3.4401
1993-07-01,3.4589
1993-10-01,3.2649
1994-01-01,3.2923
1994-04-01,3.2573
1994-07-01,3.2123
1994-10-01,3.0791
1995-01-01,2.7168
1995-04-01,2.6297
1995-07-01,2.6145
1995-10-01,2.6196
1996-01-01,2.5904
1996-04-01,2.4197
1996-07-01,2.4337
1996-10-01,2.1423
1997-01-01,2.2147
1997-04-01,2.3498
1997-07-01,2.241
1997-10-01,2.1465
1998-01-01,2.1303
1998-04-01,2.1396
1998-07-01,2.1768
1998-10-01,2.083
1999-01-01,1.898
1999-04-01,1.7761
1999-07-01,1.8526
1999-10-01,1.8814
2000-01-01,1.6886
2000-04-01,1.809
2000-07-01,1.7148
2000-10-01,1.6498
2001-01-01,1.7554
2001-04-01,1.7619
2001-07-01,1.7777
2001-10-01,1.8673
2002-01-01,1.7148
2002-04-01,1.6884
2002-07-01,1.7168
2002-10-01,1.6788
2003-01-01,1.7314
2003-04-01,1.7007
2003-07-01,1.6952
2003-10-01,1.6234
2004-01-01,1.6134
2004-04-01,1.5626
2004-07-01,1.5609
2004-10-01,1.5263
2005-01-01,1.553
2005-04-01,1.5243
2005-07-01,1.4983
2005-10-01,1.4092
2006-01-01,1.4151
2006-04-01,1.451
2006-07-01,1.4468
2006-10-01,1.3701
2007-01-01,1.482
2007-04-01,1.4367
2007-07-01,1.4502
2007-10-01,1.431
2008-01-01,1.3645
2008-04-01,1.3209
2008-07-01,1.291
2008-10-01,1.5105
2009-01-01,1.6119
2009-04-01,1.5255
2009-07-01,1.3321
2009-10-01,1.3937
2010-01-01,1.4344
2010-04-01,1.4495
2010-07-01,1.5198
2010-10-01,1.4928
2011-01-01,1.4166
2011-04-01,1.4365
2011-07-01,1.4537
2011-10-01,1.3885
2012-01-01,1.3752
2012-04-01,1.467
2012-07-01,1.4963
2012-10-01,1.48
2013-01-01,1.5302
2013-04-01,1.5087
2013-07-01,1.5332
2013-10-01,1.6115
2014-01-01,1.5578
2014-04-01,1.5242
2014-07-01,1.5615
2014-10-01,1.6218
2015-01-01,1.6274
2015-04-01,1.8035
2015-07-01,1.5478
2015-10-01,1.7308
2016-01-01,1.8007
2016-04-01,1.7094
2016-07-01,1.6733
2016-10-01,1.623
2017-01-01,1.6138
2017-04-01,1.6719
2017-07-01,1.6406
2017-10-01,1.6123
2018-01-01,1.6395
2018-04-01,1.8419
2018-07-01,2.0636
2018-10-01,2.778
2019-01-01,2.9864
2019-04-01,2.7457
2019-07-01,3.1771
2019-10-01,3.4861
2020-01-01,3.3367
2020-04-01,2.7051
2020-07-01,2.7669
2020-10-01,2.8633
2021-01-01,3.0128
2021-04-01,3.2075
2021-07-01,3.1265
2021-10-01,3.1552
2022-01-01,3.288
2022-04-01,3.2643
2022-07-01,3.1234
2022-10-01,2.8294
2023-01-01,2.7129
2023-04-01,2.7143
2023-07-01,2.5654
2023-10-01,2.5259
2024-01-01,2.6157
2024-04-01,2.426
2024-07-01,2.5543
2024-10-01,2.5598
2025-01-01,2.4442
2025-04-01,8.203
2025-07-01,10.0686
2025-10-01,11.0935
2026-01-01,10.0142
2026-04-01,8.7662
