date,value
1947-01-01,8.9362
1947-04-01,10.0667
1947-07-01,9.933
1947-10-01,10.201
1948-01-01,11.3098
1948-04-01,11.6048
1948-07-01,11.1744
1948-10-01,11.6153
1949-01-01,11.3079
1949-04-01,10.5904
1949-07-01,11.0473
1949-10-01,9.9689
1950-01-01,10.8308
1950-04-01,11.6886
1950-07-01,12.5002
1950-10-01,13.1063
1951-01-01,12.2442
1951-04-01,11.909
1951-07-01,11.8553
1951-10-01,11.9789
1952-01-01,11.2416
1952-04-01,10.6326
1952-07-01,10.4022
1952-10-01,11.2174
1953-01-01,11.255
1953-04-01,10.9414
1953-07-01,10.6579
1953-10-01,8.9395
1954-01-01,9.5431
1954-04-01,9.8663
1954-07-01,10.2941
1954-10-01,10.9839
1955-01-01,11.9138
1955-04-01,11.9377
1955-07-01,11.7174
1955-10-01,11.837
1956-01-01,11.2182
1956-04-01,11.0888
1956-07-01,10.8665
1956-10-01,10.8324
1957-01-01,10.9661
1957-04-01,10.6103
1957-07-01,10.3042
1957-10-01,9.5569
1958-01-01,8.4302
1958-04-01,8.6233
1958-07-01,9.2321
1958-10-01,10.1502
1959-01-01,10.6372
1959-04-01,11.2534
1959-07-01,10.3699
1959-10-01,10.3245
1960-01-01,10.811
1960-04-01,10.084
1960-07-01,9.8676
1960-10-01,9.4691
1961-01-01,9.1981
1961-04-01,9.7861
1961-07-01,10.0931
1961-10-01,10.6139
1962-01-01,10.557
1962-04-01,10.4189
1962-07-01,10.5764
1962-10-01,10.8569
1963-01-01,10.7713
1963-04-01,11.0764
1963-07-01,11.1364
1963-10-01,11.1493
1964-01-01,11.547
1964-04-01,11.3919
1964-07-01,11.3499
1964-10-01,11.1311
1965-01-01,11.9201
1965-04-01,12.0168
1965-07-01,11.9668
1965-10-01,12.2488
1966-01-01,12.3366
1966-04-01,12.03
1966-07-01,11.644
1966-10-01,11.5765
1967-01-01,11.1528
1967-04-01,10.8969
1967-07-01,10.8044
1967-10-01,10.9821
1968-01-01,10.8528
1968-04-01,11.01
1968-07-01,10.8128
1968-10-01,10.742
1969-01-01,10.4654
1969-04-01,9.9595
1969-07-01,9.4722
1969-10-01,8.8924
1970-01-01,8.0858
1970-04-01,8.3316
1970-07-01,8.1877
1970-10-01,7.7029
1971-01-01,8.6128
1971-04-01,8.6311
1971-07-01,8.7036
1971-10-01,8.8897
1972-01-01,9.0987
1972-04-01,9.0795
1972-07-01,9.22
1972-10-01,9.4447
1973-01-01,9.7384
1973-04-01,9.3782
1973-07-01,9.2939
1973-10-01,9.2042
1974-01-01,8.738
1974-04-01,8.4799
1974-07-01,7.9851
1974-10-01,7.5364
1975-01-01,7.356
1975-04-01,7.8719
1975-07-01,8.8054
1975-10-01,9.1018
1976-01-01,9.7187
1976-04-01,9.4546
1976-07-01,9.3488
1976-10-01,9.1344
1977-01-01,9.3896
1977-04-01,10.0683
1977-07-01,10.4698
1977-10-01,9.9492
1978-01-01,9.5428
1978-04-01,10.3795
1978-07-01,10.4074
1978-10-01,10.5998
1979-01-01,9.9938
1979-04-01,9.8986
1979-07-01,9.5928
1979-10-01,9.1491
1980-01-01,8.7214
1980-04-01,7.5417
1980-07-01,7.5812
1980-10-01,7.9017
1981-01-01,7.9328
1981-04-01,7.6532
1981-07-01,7.9241
1981-10-01,7.5312
1982-01-01,6.7185
1982-04-01,7.0378
1982-07-01,6.8892
1982-10-01,6.6705
1983-01-01,7.0405
1983-04-01,7.7304
1983-07-01,8.0098
1983-10-01,8.2442
1984-01-01,8.6841
1984-04-01,8.521
1984-07-01,8.245
1984-10-01,8.323
1985-01-01,8.2786
1985-04-01,8.2449
1985-07-01,8.4904
1985-10-01,7.9508
1986-01-01,7.6252
1986-04-01,7.2688
1986-07-01,6.9755
1986-10-01,6.9052
1987-01-01,7.0867
1987-04-01,7.7356
1987-07-01,8.0558
1987-10-01,7.9174
1988-01-01,7.8288
1988-04-01,7.9212
1988-07-01,7.8788
1988-10-01,8.1735
1989-01-01,7.7761
1989-04-01,7.5843
1989-07-01,7.5195
1989-10-01,7.1783
1990-01-01,7.2436
1990-04-01,7.4439
1990-07-01,6.9144
1990-10-01,6.9884
1991-01-01,7.5535
1991-04-01,7.4209
1991-07-01,7.3193
1991-10-01,7.3042
1992-01-01,7.6282
1992-04-01,7.583
1992-07-01,7.3222
1992-10-01,7.5274
1993-01-01,7.475
1993-04-01,7.7674
1993-07-01,7.9265
1993-10-01,8.4745
1994-01-01,8.5191
1994-04-01,8.6851
1994-07-01,9.0372
1994-10-01,9.2211
1995-01-01,9.1558
1995-04-01,9.3907
1995-07-01,9.6833
1995-10-01,9.7381
1996-01-01,10.0316
1996-04-01,10.0178
1996-07-01,9.9752
1996-10-01,10.0725
1997-01-01,10.2594
1997-04-01,10.3942
1997-07-01,10.6094
1997-10-01,10.2817
1998-01-01,9.4133
1998-04-01,9.2367
1998-07-01,9.1756
1998-10-01,8.822
1999-01-01,9.2396
1999-04-01,9.1027
1999-07-01,8.8307
1999-10-01,8.7282
2000-01-01,8.3297
2000-04-01,8.1425
2000-07-01,7.8726
2000-10-01,7.6178
2001-01-01,7.3229
2001-04-01,7.5295
2001-07-01,7.2136
2001-10-01,7.3651
2002-01-01,8.0364
2002-04-01,8.2201
2002-07-01,8.4508
2002-10-01,9.0727
2003-01-01,8.9564
2003-04-01,9.1768
2003-07-01,9.4905
2003-10-01,9.8803
2004-01-01,10.6461
2004-04-01,10.711
2004-07-01,11.0222
2004-10-01,10.751
2005-01-01,11.609
2005-04-01,11.5468
2005-07-01,11.5763
2005-10-01,11.9885
2006-01-01,12.1473
2006-04-01,12.1035
2006-07-01,12.3141
2006-10-01,11.8107
2007-01-01,11.0681
2007-04-01,11.4064
2007-07-01,10.9901
2007-10-01,10.6741
2008-01-01,9.9782
2008-04-01,9.7693
2008-07-01,9.7291
2008-10-01,7.4171
