date,value
1930-06-30,-0.75
1931-06-30,0.54481
1932-06-30,3.9927
1933-06-30,4.46312
1934-06-30,5.78387
1935-06-30,3.97589
1936-06-30,5.40704
1937-06-30,2.46682
1938-06-30,0.09867
1939-06-30,3.14823
1940-06-30,2.97352
1941-06-30,4.25215
1942-06-30,13.88152
1943-06-30,29.55255
1944-06-30,22.24369
1945-06-30,21.00398
1946-06-30,6.98947
1947-06-30,-1.68188
1948-06-30,-4.50401
1949-06-30,-0.20976
1950-06-30,1.11922
1951-06-30,-1.86577
1952-06-30,0.42537
1953-06-30,1.69952
1954-06-30,0.29808
1955-06-30,0.7366
1956-06-30,-0.90063
1957-06-30,-0.73634
1958-06-30,0.58482
1959-06-30,2.54637
1960-06-30,-0.05633
1961-06-30,0.61016
1962-06-30,1.22013
1963-06-30,0.76933
1964-06-30,0.89391
1965-06-30,0.19892
1966-06-30,0.47381
1967-06-30,1.0332
1968-06-30,2.80322
1969-06-30,-0.33072
1970-06-30,0.27153
1971-06-30,2.06287
1972-06-30,1.92173
1973-06-30,1.10207
1974-06-30,0.41373
1975-06-30,3.31328
1976-06-30,4.1281
1977-09-30,2.65071
1978-09-30,2.60331
1979-09-30,1.5874
1980-09-30,2.64444
1981-09-30,2.52034
1982-09-30,3.86247
1983-09-30,5.87675
1984-09-30,4.69382
1985-09-30,4.97777
1986-09-30,4.88764
1987-09-30,3.14054
1988-09-30,3.01988
1989-09-30,2.74794
1990-09-30,3.74717
1991-09-30,4.41868
1992-09-30,4.52478
1993-09-30,3.76441
1994-09-30,2.83113
1995-09-30,2.16856
1996-09-30,1.35111
1997-09-30,0.25895
1998-09-30,-0.77563
1999-09-30,-1.32505
2000-09-30,-2.33507
2001-09-30,-1.21831
2002-09-30,1.45683
2003-09-30,3.34776
2004-09-30,3.43126
2005-09-30,2.47934
2006-09-30,1.81994
2007-09-30,1.12336
2008-09-30,3.09905
2009-09-30,9.7647
2010-09-30,8.69617
2011-09-30,8.40266
2012-09-30,6.68288
2013-09-30,4.07349
2014-09-30,2.78167
2015-09-30,2.43313
2016-09-30,3.13631
2017-09-30,3.43455
2018-09-30,3.8122
2019-09-30,4.62079
2020-09-30,14.50853
2021-09-30,12.03605
2022-09-30,5.37513
2023-09-30,6.1591
2024-09-30,6.27119
2025-09-30,5.85263
