date,value
1980-10-01,16.921
1980-11-01,8.907
1980-12-01,1.965
1981-01-01,12.192
1981-02-01,15.62
1981-03-01,9.582
1981-04-01,-17.19
1981-05-01,16.171
1981-06-01,-15.363
1981-07-01,10.343
1981-08-01,5.119
1981-09-01,-6.335
1981-10-01,18.105
1981-11-01,10.642
1981-12-01,19.468
1982-01-01,-9.339
1982-02-01,14.78
1982-03-01,18.255
1982-04-01,-9.704
1982-05-01,18.93
1982-06-01,-6.724
1982-07-01,19.831
1982-08-01,14.704
1982-09-01,1.708
1982-10-01,26.169
1982-11-01,24.158
1982-12-01,17.938
1983-01-01,9.582
1983-02-01,25.336
1983-03-01,26.036
1983-04-01,3.308
1983-05-01,29.285
1983-06-01,-3.401
1983-07-01,21.412
1983-08-01,17.477
1983-09-01,-1.946
1983-10-01,25.069
1983-11-01,21.591
1983-12-01,16.661
1984-01-01,5.515
1984-02-01,20.381
1984-03-01,28.555
1984-04-01,-11.493
1984-05-01,33.932
1984-06-01,2.0
1984-07-01,16.416
1984-08-01,33.498
1984-09-01,-16.785
1984-10-01,28.009
1984-11-01,28.896
1984-12-01,14.568
1985-01-01,7.992
1985-02-01,21.053
1985-03-01,29.502
1985-04-01,-11.386
1985-05-01,41.997
1985-06-01,1.408
1985-07-01,21.533
1985-08-01,27.597
1985-09-01,0.764
1985-10-01,27.087
1985-11-01,33.386
1985-12-01,14.656
1986-01-01,6.492
1986-02-01,24.58
1986-03-01,30.142
1986-04-01,-9.928
1986-05-01,39.396
1986-06-01,1.044
1986-07-01,22.304
1986-08-01,28.056
1986-09-01,3.926
1986-10-01,25.29
1986-11-01,27.087
1986-12-01,12.369
1987-01-01,2.157
1987-02-01,28.379
1987-03-01,27.931
1987-04-01,-38.742
1987-05-01,35.637
1987-06-01,0.623
1987-07-01,22.339
1987-08-01,21.796
1987-09-01,-15.204
1987-10-01,30.81
1987-11-01,27.022
1987-12-01,24.363
1988-01-01,-15.896
1988-02-01,24.065
1988-03-01,29.283
1988-04-01,-13.769
1988-05-01,22.583
1988-06-01,-9.134
1988-07-01,22.918
1988-08-01,23.079
1988-09-01,-10.173
1988-10-01,27.005
1988-11-01,29.14
1988-12-01,12.79
1989-01-01,-2.797
1989-02-01,27.871
1989-03-01,35.784
1989-04-01,-40.654
1989-05-01,25.433
1989-06-01,-7.785
1989-07-01,18.237
1989-08-01,22.15
1989-09-01,6.146
1989-10-01,26.084
1989-11-01,29.732
1989-12-01,14.772
1990-01-01,-8.282
1990-02-01,35.207
