date,value
1981-09-01,57.932
1981-10-01,59.116
1981-11-01,60.851
1981-12-01,78.354
1982-01-01,56.823
1982-02-01,55.983
1982-03-01,64.656
1982-04-01,72.142
1982-05-01,74.901
1982-06-01,83.54
1982-07-01,93.028
1982-08-01,102.613
1982-09-01,110.656
1982-10-01,118.72
1982-11-01,132.236
1982-12-01,130.706
1983-01-01,149.627
1983-02-01,160.183
1983-03-01,167.964
1983-04-01,180.976
1983-05-01,191.331
1983-06-01,194.654
1983-07-01,196.235
1983-08-01,199.008
1983-09-01,195.354
1983-10-01,194.254
1983-11-01,191.687
1983-12-01,190.41
1984-01-01,186.343
1984-02-01,181.388
1984-03-01,183.907
1984-04-01,169.106
1984-05-01,173.753
1984-06-01,179.154
1984-07-01,174.158
1984-08-01,190.179
1984-09-01,175.34
1984-10-01,178.28
1984-11-01,185.585
1984-12-01,183.492
1985-01-01,185.969
1985-02-01,186.641
1985-03-01,187.588
1985-04-01,187.695
1985-05-01,195.76
1985-06-01,195.168
1985-07-01,200.285
1985-08-01,194.384
1985-09-01,211.933
1985-10-01,211.011
1985-11-01,215.501
1985-12-01,215.589
1986-01-01,214.089
1986-02-01,217.616
1986-03-01,218.256
1986-04-01,219.714
1986-05-01,217.113
1986-06-01,216.749
1986-07-01,217.52
1986-08-01,217.979
1986-09-01,221.141
1986-10-01,219.344
1986-11-01,213.045
1986-12-01,210.758
1987-01-01,206.423
1987-02-01,210.222
1987-03-01,208.011
1987-04-01,179.197
1987-05-01,175.438
1987-06-01,175.017
1987-07-01,175.052
1987-08-01,168.792
1987-09-01,149.662
1987-10-01,155.182
1987-11-01,155.117
1987-12-01,167.111
1988-01-01,149.058
1988-02-01,144.744
1988-03-01,146.096
1988-04-01,171.069
1988-05-01,158.015
1988-06-01,148.258
1988-07-01,148.837
1988-08-01,150.12
1988-09-01,155.151
1988-10-01,151.346
1988-11-01,153.464
1988-12-01,141.891
1989-01-01,154.99
1989-02-01,158.796
1989-03-01,165.297
1989-04-01,138.412
1989-05-01,141.262
1989-06-01,142.611
1989-07-01,137.93
1989-08-01,137.001
1989-09-01,153.32
1989-10-01,152.399
1989-11-01,152.991
1989-12-01,154.973
1990-01-01,149.488
1990-02-01,156.824
1990-03-01,174.364
1990-04-01,173.189
1990-05-01,190.238
1990-06-01,209.128
1990-07-01,216.815
1990-08-01,247.384
1990-09-01,220.47
1990-10-01,225.75
1990-11-01,243.741
1990-12-01,236.356
1991-01-01,242.988
1991-02-01,233.972
1991-03-01,221.821
1991-04-01,233.641
1991-05-01,244.526
1991-06-01,236.0
1991-07-01,250.907
1991-08-01,241.837
1991-09-01,269.492
1991-10-01,274.722
1991-11-01,271.683
1991-12-01,266.83
1992-01-01,284.148
1992-02-01,307.137
1992-03-01,316.676
1992-04-01,332.082
1992-05-01,325.488
1992-06-01,319.127
1992-07-01,321.443
1992-08-01,302.536
1992-09-01,290.339
1992-10-01,302.537
1992-11-01,290.579
1992-12-01,326.992
1993-01-01,281.507
1993-02-01,280.825
1993-03-01,274.087
1993-04-01,280.873
1993-05-01,271.063
1993-06-01,263.746
1993-07-01,260.176
1993-08-01,258.512
1993-09-01,255.305
1993-10-01,251.935
1993-11-01,257.59
1993-12-01,226.348
1994-01-01,240.917
1994-02-01,233.985
1994-03-01,222.326
1994-04-01,212.689
1994-05-01,207.783
1994-06-01,204.032
1994-07-01,197.653
1994-08-01,198.85
1994-09-01,203.101
1994-10-01,189.022
1994-11-01,187.884
1994-12-01,184.982
1995-01-01,184.596
1995-02-01,181.387
1995-03-01,199.616
1995-04-01,167.348
1995-05-01,174.846
1995-06-01,176.883
1995-07-01,157.267
1995-08-01,166.841
1995-09-01,163.916
1995-10-01,155.331
1995-11-01,156.54
1995-12-01,146.454
1996-01-01,142.632
1996-02-01,148.621
1996-03-01,145.148
1996-04-01,122.466
1996-05-01,135.962
1996-06-01,114.435
1996-07-01,127.709
1996-08-01,135.691
1996-09-01,107.625
1996-10-01,124.672
1996-11-01,124.098
1996-12-01,110.891
1997-01-01,116.983
1997-02-01,116.647
1997-03-01,90.899
1997-04-01,69.364
1997-05-01,64.807
1997-06-01,44.512
1997-07-01,43.28
1997-08-01,36.638
1997-09-01,21.955
1997-10-01,18.118
1997-11-01,-2.411
1997-12-01,2.44
1998-01-01,-9.575
1998-02-01,-11.835
1998-03-01,-19.345
1998-04-01,-50.009
1998-05-01,-59.724
1998-06-01,-56.195
1998-07-01,-57.735
1998-08-01,-81.758
1998-09-01,-69.243
1998-10-01,-72.771
1998-11-01,-73.183
1998-12-01,-54.388
1999-01-01,-99.514
1999-02-01,-98.927
1999-03-01,-90.331
1999-04-01,-79.187
1999-05-01,-93.997
1999-06-01,-96.459
1999-07-01,-95.379
1999-08-01,-103.742
1999-09-01,-124.359
1999-10-01,-130.473
1999-11-01,-120.379
1999-12-01,-158.616
2000-01-01,-150.263
2000-02-01,-150.866
2000-03-01,-137.895
2000-04-01,-183.933
2000-05-01,-204.291
2000-06-01,-206.611
2000-07-01,-236.836
2000-08-01,-229.212
2000-09-01,-236.917
2000-10-01,-251.922
2000-11-01,-255.263
2000-12-01,-254.848
2001-01-01,-269.075
2001-02-01,-262.641
2001-03-01,-247.359
2001-04-01,-277.658
2001-05-01,-253.35
2001-06-01,-229.324
2001-07-01,-227.083
2001-08-01,-157.52
2001-09-01,-127.274
2001-10-01,-130.939
2001-11-01,-100.362
2001-12-01,-94.263
2002-01-01,-61.613
2002-02-01,-33.725
2002-03-01,-20.149
2002-04-01,102.477
2002-05-01,155.189
2002-06-01,157.98
2002-07-01,189.959
2002-08-01,164.678
2002-09-01,157.791
2002-10-01,204.207
2002-11-01,208.823
2002-12-01,230.671
2003-01-01,263.767
2003-02-01,284.374
2003-03-01,279.013
2003-04-01,295.117
2003-05-01,303.353
2003-06-01,311.194
2003-07-01,336.275
2003-08-01,358.153
2003-09-01,377.139
2003-10-01,392.612
2003-11-01,376.7
2003-12-01,399.059
2004-01-01,411.325
2004-02-01,411.363
2004-03-01,425.399
2004-04-01,458.887
2004-05-01,432.483
2004-06-01,434.589
2004-07-01,449.509
2004-08-01,414.054
2004-09-01,412.845
2004-10-01,399.918
2004-11-01,414.117
2004-12-01,399.038
2005-01-01,389.299
2005-02-01,406.387
2005-03-01,405.198
2005-04-01,364.852
2005-05-01,338.579
2005-06-01,335.23
2005-07-01,319.465
2005-08-01,329.369
2005-09-01,318.746
2005-10-01,309.405
2005-11-01,335.307
2005-12-01,321.779
2006-01-01,308.921
2006-02-01,314.369
2006-03-01,327.926
2006-04-01,267.009
2006-05-01,273.726
2006-06-01,275.682
2006-07-01,255.451
2006-08-01,269.132
2006-09-01,248.199
2006-10-01,250.243
2006-11-01,240.213
2006-12-01,209.219
2007-01-01,191.947
2007-02-01,192.703
2007-03-01,203.692
2007-04-01,144.859
2007-05-01,169.651
2007-06-01,162.687
2007-07-01,165.97
2007-08-01,218.226
2007-09-01,161.527
2007-10-01,169.044
2007-11-01,194.24
2007-12-01,187.94
2008-01-01,208.337
2008-02-01,263.907
2008-03-01,215.849
2008-04-01,234.241
2008-05-01,332.469
2008-06-01,326.403
2008-07-01,392.723
2008-08-01,387.664
2008-09-01,454.796
2008-10-01,553.491
2008-11-01,580.454
2008-12-01,680.469
2009-01-01,761.765
2009-02-01,780.061
2009-03-01,923.438
2009-04-01,1103.627
2009-05-01,1127.351
2009-06-01,1255.23
2009-07-01,1333.143
2009-08-01,1324.784
2009-09-01,1415.725
2009-10-01,1436.555
2009-11-01,1431.641
2009-12-01,1471.297
2010-01-01,1450.474
2010-02-01,1477.524
2010-03-01,1351.322
2010-04-01,1413.104
2010-05-01,1359.38
2010-06-01,1333.47
2010-07-01,1317.833
2010-08-01,1304.804
2010-09-01,1294.204
2010-10-01,1258.273
2010-11-01,1288.38
2010-12-01,1275.104
2011-01-01,1282.266
2011-02-01,1283.864
2011-03-01,1406.631
2011-04-01,1364.329
2011-05-01,1286.043
2011-06-01,1260.701
2011-07-01,1225.034
2011-08-01,1268.651
2011-09-01,1296.794
2011-10-01,1254.828
2011-11-01,1241.736
2011-12-01,1249.569
2012-01-01,1227.18
2012-02-01,1236.35
2012-03-01,1246.353
2012-04-01,1146.849
2012-05-01,1213.844
2012-06-01,1230.505
2012-07-01,1170.733
2012-08-01,1227.123
2012-09-01,1089.193
2012-10-01,1110.722
2012-11-01,1145.532
2012-12-01,1060.756
2013-01-01,1030.463
2013-02-01,1002.325
2013-03-01,910.698
2013-04-01,856.926
2013-05-01,871.022
2013-06-01,694.78
2013-07-01,722.773
2013-08-01,680.145
2013-09-01,680.211
2013-10-01,650.802
2013-11-01,613.916
2013-12-01,559.505
2014-01-01,572.641
2014-02-01,562.634
2014-03-01,492.999
2014-04-01,499.035
2014-05-01,490.274
2014-06-01,536.256
2014-07-01,533.28
2014-08-01,514.052
2014-09-01,483.363
2014-10-01,514.49
2014-11-01,436.082
2014-12-01,487.438
2015-01-01,492.184
2015-02-01,491.011
2015-03-01,507.02606
2015-04-01,457.164982
2015-05-01,409.57926
2015-06-01,428.322496
2015-07-01,482.888262
2015-08-01,418.631782
2015-09-01,433.374251
2015-10-01,448.193336
2015-11-01,455.928256
2015-12-01,472.2362
2016-01-01,402.076911
2016-02-01,402.331913
2016-03-01,457.464584
2016-04-01,507.72679
2016-05-01,477.848925
2016-06-01,523.372702
2016-07-01,487.001175
2016-08-01,529.692231
2016-09-01,587.393268
2016-10-01,495.053384
2016-11-01,567.151039
2016-12-01,580.222894
2017-01-01,584.129005
2017-02-01,583.559468
2017-03-01,651.749062
2017-04-01,575.772876
2017-05-01,611.691457
2017-06-01,708.176635
2017-07-01,638.300774
2017-08-01,638.877975
2017-09-01,664.237386
2017-10-01,683.259203
2017-11-01,685.156066
2017-12-01,680.833826
2018-01-01,682.855283
2018-02-01,706.05899
2018-03-01,738.569915
2018-04-01,706.742859
2018-05-01,765.113308
2018-06-01,749.738107
2018-07-01,783.663959
2018-08-01,890.122707
2018-09-01,779.006781
2018-10-01,816.283906
2018-11-01,882.639025
2018-12-01,872.984825
2019-01-01,913.537679
2019-02-01,932.266756
2019-03-01,870.468272
2019-04-01,924.418877
2019-05-01,985.390825
2019-06-01,919.009153
2019-07-01,961.839729
2019-08-01,948.036553
2019-09-01,984.384904
2019-10-01,1018.361326
2019-11-01,1022.297063
2019-12-01,1022.030261
2020-01-01,1063.306408
2020-02-01,1064.664373
2020-03-01,1036.844772
2020-04-01,1934.999902
2020-05-01,2126.052925
2020-06-01,2981.650675
2020-07-01,2924.946595
2020-08-01,2924.697261
2020-09-01,3132.075477
2020-10-01,3281.678449
2020-11-01,3218.106419
2020-12-01,3348.396189
2021-01-01,3478.635398
2021-02-01,3554.222127
2021-03-01,4094.68858
2021-04-01,3582.417419
2021-05-01,3315.549068
2021-06-01,2625.63555
2021-07-01,2864.694312
2021-08-01,2835.233951
2021-09-01,2772.167644
2021-10-01,2653.152474
2021-11-01,2699.221251
2021-12-01,2576.962053
2022-01-01,2295.430706
2022-02-01,2201.098515
2022-03-01,1734.189284
2022-04-01,1200.394763
2022-05-01,1134.664261
2022-06-01,1049.345224
2022-07-01,958.346496
2022-08-01,1007.308083
2022-09-01,1375.437311
2022-10-01,1298.17978
2022-11-01,1355.37962
2022-12-01,1419.077228
2023-01-01,1576.559858
2023-02-01,1622.403949
2023-03-01,1807.797878
2023-04-01,1939.832149
2023-05-01,2113.957828
2023-06-01,2252.884728
2023-07-01,2262.615065
2023-08-01,1953.763251
2023-09-01,1695.071973
2023-10-01,1673.837688
2023-11-01,1739.314809
2023-12-01,1783.679487
2024-01-01,1766.826071
2024-02-01,1800.666876
2024-03-01,1659.047384
2024-04-01,1625.698867
2024-05-01,1732.481521
2024-06-01,1570.6784
2024-07-01,1593.63739
2024-08-01,2062.973368
2024-09-01,1827.728158
2024-10-01,2018.61495
2024-11-01,2071.366012
2024-12-01,2028.732216
2025-01-01,2135.442067
2025-02-01,2146.184614
2025-03-01,2070.258111
2025-04-01,2021.387469
2025-05-01,1990.260336
2025-06-01,1897.285022
2025-07-01,1944.686595
2025-08-01,1909.398082
2025-09-01,1775.711461
2025-10-01,1802.611169
2025-11-01,1609.12528
2025-12-01,1667.142897
2026-01-01,1633.117852
2026-02-01,1633.60209
2026-03-01,1637.172108
2026-04-01,1680.547917
2026-05-01,1657.192618
2026-06-01,1804.507916
2026-07-01,1945.673131
