date,value
1947-01-01,53.7248
1947-04-01,53.7756
1947-07-01,53.6318
1947-10-01,53.4421
1948-01-01,52.969
1948-04-01,51.9159
1948-07-01,52.6445
1948-10-01,52.602
1949-01-01,53.3471
1949-04-01,53.4543
1949-07-01,53.0187
1949-10-01,53.4292
1950-01-01,52.9733
1950-04-01,52.9835
1950-07-01,52.7773
1950-10-01,53.2889
1951-01-01,53.6986
1951-04-01,54.279
1951-07-01,54.1642
1951-10-01,54.1144
1952-01-01,55.0752
1952-04-01,55.054
1952-07-01,55.0556
1952-10-01,55.3376
1953-01-01,55.3461
1953-04-01,55.6501
1953-07-01,55.8628
1953-10-01,56.5349
1954-01-01,55.7071
1954-04-01,55.4442
1954-07-01,55.0183
1954-10-01,54.8162
1955-01-01,54.1678
1955-04-01,54.3395
1955-07-01,54.6228
1955-10-01,54.7059
1956-01-01,55.1214
1956-04-01,55.2833
1956-07-01,55.1863
1956-10-01,55.3038
1957-01-01,55.2398
1957-04-01,55.2905
1957-07-01,55.2849
1957-10-01,55.584
1958-01-01,55.4882
1958-04-01,55.0905
1958-07-01,55.1191
1958-10-01,54.6225
1959-01-01,54.8366
1959-04-01,54.5757
1959-07-01,54.9065
1959-10-01,54.9378
1960-01-01,55.1045
1960-04-01,55.5241
1960-07-01,55.4884
1960-10-01,55.5402
1961-01-01,55.4925
1961-04-01,55.2005
1961-07-01,55.0685
1961-10-01,54.7622
1962-01-01,54.9332
1962-04-01,55.2311
1962-07-01,55.0257
1962-10-01,54.8322
1963-01-01,54.9257
1963-04-01,54.8165
1963-07-01,54.8052
1963-10-01,54.8325
1964-01-01,54.7243
1964-04-01,54.9001
1964-07-01,54.9864
1964-10-01,55.0848
1965-01-01,54.5621
1965-04-01,54.5838
1965-07-01,54.7444
1965-10-01,54.7863
1966-01-01,54.8705
1966-04-01,55.4762
1966-07-01,55.9518
1966-10-01,55.981
1967-01-01,56.1674
1967-04-01,56.2445
1967-07-01,56.2463
1967-10-01,56.3172
1968-01-01,56.5043
1968-04-01,56.4973
1968-07-01,56.6559
1968-10-01,56.7814
1969-01-01,56.9177
1969-04-01,57.2484
1969-07-01,57.7014
1969-10-01,58.1909
1970-01-01,58.7312
1970-04-01,58.4102
1970-07-01,58.1942
1970-10-01,58.1476
1971-01-01,57.7531
1971-04-01,57.6746
1971-07-01,57.4978
1971-10-01,57.3239
1972-01-01,57.7949
1972-04-01,57.8407
1972-07-01,57.4046
1972-10-01,56.9889
1973-01-01,57.2949
1973-04-01,57.3925
1973-07-01,57.3167
1973-10-01,57.0552
1974-01-01,57.562
1974-04-01,57.7815
1974-07-01,57.8363
1974-10-01,57.7226
1975-01-01,57.3728
1975-04-01,56.8493
1975-07-01,56.2077
1975-10-01,56.2991
1976-01-01,56.3167
1976-04-01,56.5417
1976-07-01,56.622
1976-10-01,56.836
1977-01-01,56.7737
1977-04-01,56.5196
1977-07-01,56.3481
1977-10-01,56.4882
1978-01-01,56.8604
1978-04-01,56.2493
1978-07-01,56.5063
1978-10-01,56.6176
1979-01-01,56.859
1979-04-01,57.0439
1979-07-01,57.3646
1979-10-01,57.5288
1980-01-01,57.8092
1980-04-01,58.328
1980-07-01,57.675
1980-10-01,56.9247
1981-01-01,56.7592
1981-04-01,56.7536
1981-07-01,56.1624
1981-10-01,56.5748
1982-01-01,56.9862
1982-04-01,56.6432
1982-07-01,56.6751
1982-10-01,56.7353
1983-01-01,56.5584
1983-04-01,56.3226
1983-07-01,56.1668
1983-10-01,56.0115
1984-01-01,55.452
1984-04-01,55.3935
1984-07-01,55.48
1984-10-01,55.4715
1985-01-01,55.4403
1985-04-01,55.6368
1985-07-01,55.6294
1985-10-01,56.1379
1986-01-01,56.1112
1986-04-01,56.3283
1986-07-01,56.5913
1986-10-01,56.9273
1987-01-01,56.9108
1987-04-01,56.5623
1987-07-01,56.3243
1987-10-01,56.5372
1988-01-01,56.382
1988-04-01,56.4699
1988-07-01,56.3016
1988-10-01,56.167
1989-01-01,56.045
1989-04-01,56.1936
1989-07-01,56.2777
1989-10-01,56.786
1990-01-01,56.7416
1990-04-01,56.8588
1990-07-01,57.0551
1990-10-01,57.0482
1991-01-01,56.7134
1991-04-01,56.8004
1991-07-01,56.9009
1991-10-01,57.1318
1992-01-01,57.2131
1992-04-01,57.2817
1992-07-01,57.3909
1992-10-01,57.2072
1993-01-01,57.2192
1993-04-01,57.0239
1993-07-01,57.0796
1993-10-01,56.4878
1994-01-01,56.2573
1994-04-01,56.2329
1994-07-01,55.9512
1994-10-01,55.7595
1995-01-01,55.8562
1995-04-01,55.7798
1995-07-01,55.4462
1995-10-01,55.4154
1996-01-01,55.1713
1996-04-01,55.0693
1996-07-01,55.1799
1996-10-01,54.9871
1997-01-01,54.9992
1997-04-01,54.9861
1997-07-01,54.7912
1997-10-01,55.0741
1998-01-01,55.5631
1998-04-01,55.583
1998-07-01,55.531
1998-10-01,55.7566
1999-01-01,55.734
1999-04-01,55.8527
1999-07-01,55.9411
1999-10-01,56.1645
2000-01-01,56.6084
2000-04-01,56.2996
2000-07-01,56.5385
2000-10-01,56.6009
2001-01-01,56.6522
2001-04-01,56.2883
2001-07-01,56.2063
2001-10-01,56.6162
2002-01-01,55.9791
2002-04-01,55.8854
2002-07-01,55.7098
2002-10-01,55.3143
2003-01-01,55.2491
2003-04-01,55.4389
2003-07-01,55.2829
2003-10-01,55.3949
2004-01-01,54.8951
2004-04-01,54.8912
2004-07-01,54.9746
2004-10-01,54.7381
2005-01-01,54.3234
2005-04-01,54.0356
2005-07-01,54.039
2005-10-01,53.4489
2006-01-01,53.4921
2006-04-01,53.1595
2006-07-01,53.0075
2006-10-01,53.6593
2007-01-01,54.4275
2007-04-01,54.0621
2007-07-01,54.5118
2007-10-01,54.9069
2008-01-01,55.2684
2008-04-01,55.1029
2008-07-01,54.8867
2008-10-01,55.8101
2009-01-01,54.5832
2009-04-01,54.7065
2009-07-01,54.3096
2009-10-01,53.6598
2010-01-01,53.0123
2010-04-01,53.2139
2010-07-01,52.7361
2010-10-01,52.6804
2011-01-01,53.1943
2011-04-01,52.6963
2011-07-01,52.7843
2011-10-01,51.9478
2012-01-01,51.96
2012-04-01,51.9167
2012-07-01,52.3359
2012-10-01,52.6422
2013-01-01,52.2551
2013-04-01,52.3454
2013-07-01,52.1955
2013-10-01,52.1893
2014-01-01,52.6428
2014-04-01,51.9605
2014-07-01,51.7634
2014-10-01,52.1152
2015-01-01,52.5113
2015-04-01,52.5876
2015-07-01,52.824
2015-10-01,53.0673
2016-01-01,52.9885
2016-04-01,53.1669
2016-07-01,53.181
2016-10-01,53.2486
2017-01-01,53.149
2017-04-01,53.2616
2017-07-01,53.4566
2017-10-01,53.4759
2018-01-01,53.3683
2018-04-01,53.2043
2018-07-01,53.1868
2018-10-01,53.0825
2019-01-01,53.411
2019-04-01,53.2953
2019-07-01,53.1274
2019-10-01,53.2976
2020-01-01,54.1516
2020-04-01,55.8599
2020-07-01,54.3748
2020-10-01,54.0076
2021-01-01,53.3374
2021-04-01,53.1402
2021-07-01,53.0189
2021-10-01,52.6029
2022-01-01,51.9765
2022-04-01,51.3056
2022-07-01,51.5032
2022-10-01,51.6089
2023-01-01,51.4753
2023-04-01,51.7553
2023-07-01,51.9072
2023-10-01,51.6203
2024-01-01,51.7755
2024-04-01,51.7779
2024-07-01,51.9133
2024-10-01,51.79
2025-01-01,51.8834
2025-04-01,51.6131
2025-07-01,51.436
2025-10-01,51.1205
2026-01-01,50.9355
2026-04-01,50.3155
