date,value
1871-01-01,0.2345
1871-02-01,0.2377
1871-03-01,0.2435
1871-04-01,0.2504
1871-05-01,0.2567
1871-06-01,0.2546
1871-07-01,0.2499
1871-08-01,0.253
1871-09-01,0.2557
1871-10-01,0.2425
1871-11-01,0.2451
1871-12-01,0.2504
1872-01-01,0.2566
1872-02-01,0.2577
1872-03-01,0.2661
1872-04-01,0.2735
1872-05-01,0.2735
1872-06-01,0.2709
1872-07-01,0.2693
1872-08-01,0.2661
1872-09-01,0.2614
1872-10-01,0.2624
1872-11-01,0.2614
1872-12-01,0.2677
1873-01-01,0.2698
1873-02-01,0.2719
1873-03-01,0.2698
1873-04-01,0.2661
1873-05-01,0.2666
1873-06-01,0.2629
1873-07-01,0.2624
1873-08-01,0.2624
1873-09-01,0.2423
1873-10-01,0.2212
1873-11-01,0.2133
1873-12-01,0.2334
1874-01-01,0.246
1874-02-01,0.2534
1874-03-01,0.2497
1874-04-01,0.2429
1874-05-01,0.2365
1874-06-01,0.2355
1874-07-01,0.2355
1874-08-01,0.236
1874-09-01,0.2397
1874-10-01,0.2392
1874-11-01,0.2413
1874-12-01,0.2397
1875-01-01,0.2397
1875-02-01,0.2392
1875-03-01,0.2423
1875-04-01,0.2455
1875-05-01,0.236
1875-06-01,0.2313
1875-07-01,0.2318
1875-08-01,0.2328
1875-09-01,0.2307
1875-10-01,0.227
1875-11-01,0.2307
1875-12-01,0.2307
1876-01-01,0.2355
1876-02-01,0.2386
1876-03-01,0.2381
1876-04-01,0.2291
1876-05-01,0.2207
1876-06-01,0.2191
1876-07-01,0.2165
1876-08-01,0.2075
1876-09-01,0.1948
1876-10-01,0.1938
1876-11-01,0.1901
1876-12-01,0.189
1877-01-01,0.1874
1877-02-01,0.1763
1877-03-01,0.1674
1877-04-01,0.1552
1877-05-01,0.1552
1877-06-01,0.1441
1877-07-01,0.1505
1877-08-01,0.161
1877-09-01,0.1711
1877-10-01,0.1748
1877-11-01,0.1721
1877-12-01,0.1716
1878-01-01,0.1716
1878-02-01,0.1679
1878-03-01,0.1711
1878-04-01,0.1758
1878-05-01,0.1763
1878-06-01,0.18
1878-07-01,0.1837
1878-08-01,0.1822
1878-09-01,0.1859
1878-10-01,0.1837
1878-11-01,0.1832
1878-12-01,0.1822
1879-01-01,0.189
1879-02-01,0.1959
1879-03-01,0.1927
1879-04-01,0.199
1879-05-01,0.208
1879-06-01,0.2091
1879-07-01,0.2133
1879-08-01,0.2149
1879-09-01,0.2228
1879-10-01,0.2471
1879-11-01,0.2603
1879-12-01,0.2598
1880-01-01,0.2698
1880-02-01,0.2746
1880-03-01,0.2798
1880-04-01,0.2735
1880-05-01,0.2518
1880-06-01,0.2529
1880-07-01,0.2645
1880-08-01,0.274
1880-09-01,0.2735
1880-10-01,0.2814
1880-11-01,0.2962
1880-12-01,0.3083
1881-01-01,0.3268
1881-02-01,0.3258
1881-03-01,0.3295
1881-04-01,0.3284
1881-05-01,0.3432
1881-06-01,0.3474
1881-07-01,0.3353
1881-08-01,0.3273
1881-09-01,0.33
1881-10-01,0.3247
1881-11-01,0.3268
1881-12-01,0.3173
1882-01-01,0.3126
1882-02-01,0.3057
1882-03-01,0.3052
1882-04-01,0.3052
1882-05-01,0.3015
1882-06-01,0.2999
1882-07-01,0.3168
1882-08-01,0.3263
1882-09-01,0.3295
1882-10-01,0.3205
1882-11-01,0.3068
1882-12-01,0.3083
1883-01-01,0.3068
1883-02-01,0.2999
1883-03-01,0.3036
1883-04-01,0.3099
1883-05-01,0.3046
1883-06-01,0.3073
1883-07-01,0.3025
1883-08-01,0.2888
1883-09-01,0.292
1883-10-01,0.2841
