date,value
1947-01-01,9.0351
1947-04-01,8.4515
1947-07-01,8.2393
1947-10-01,8.6435
1948-01-01,8.9331
1948-04-01,9.1504
1948-07-01,8.7935
1948-10-01,8.4746
1949-01-01,7.8838
1949-04-01,7.0654
1949-07-01,7.2616
1949-10-01,7.1896
1950-01-01,7.135
1950-04-01,8.2012
1950-07-01,9.3385
1950-10-01,9.8708
1951-01-01,7.8408
1951-04-01,6.5649
1951-07-01,5.9132
1951-10-01,6.3429
1952-01-01,6.1314
1952-04-01,5.8984
1952-07-01,5.8716
1952-10-01,6.2372
1953-01-01,6.3429
1953-04-01,6.2943
1953-07-01,6.1868
1953-10-01,5.0136
1954-01-01,5.6892
1954-04-01,5.8347
1954-07-01,6.0903
1954-10-01,6.383
1955-01-01,6.9196
1955-04-01,6.8949
1955-07-01,6.9367
1955-10-01,7.1186
1956-01-01,6.9588
1956-04-01,7.0505
1956-07-01,6.6958
1956-10-01,6.9232
1957-01-01,6.8488
1957-04-01,6.5427
1957-07-01,6.3138
1957-10-01,5.88
1958-01-01,5.1837
1958-04-01,5.2121
1958-07-01,5.5705
1958-10-01,6.097
1959-01-01,6.4088
1959-04-01,6.7819
1959-07-01,6.1788
1959-10-01,6.0462
1960-01-01,6.3787
1960-04-01,5.9718
1960-07-01,5.686
1960-10-01,5.5391
1961-01-01,5.3618
1961-04-01,5.5209
1961-07-01,5.693
1961-10-01,5.9584
1962-01-01,5.9251
1962-04-01,5.8574
1962-07-01,5.9447
1962-10-01,6.0538
1963-01-01,5.9047
1963-04-01,6.1377
1963-07-01,6.1531
1963-10-01,6.222
1964-01-01,6.63
1964-04-01,6.5417
1964-07-01,6.5766
1964-10-01,6.4782
1965-01-01,7.0632
1965-04-01,7.2
1965-07-01,7.142
1965-10-01,7.33
1966-01-01,7.3037
1966-04-01,7.2767
1966-07-01,7.1247
1966-10-01,6.9023
1967-01-01,6.5333
1967-04-01,6.5087
1967-07-01,6.5347
1967-10-01,6.75
1968-01-01,6.4681
1968-04-01,6.4779
1968-07-01,6.418
1968-10-01,6.4666
1969-01-01,6.241
1969-04-01,5.9796
1969-07-01,5.6929
1969-10-01,5.5691
1970-01-01,5.2628
1970-04-01,5.171
1970-07-01,5.1684
1970-10-01,4.9008
1971-01-01,5.299
1971-04-01,5.3984
1971-07-01,5.6505
1971-10-01,5.7746
1972-01-01,5.9146
1972-04-01,5.8297
1972-07-01,5.9667
1972-10-01,6.2822
1973-01-01,6.9363
1973-04-01,7.0043
1973-07-01,7.0553
1973-10-01,7.1973
1974-01-01,7.5547
1974-04-01,7.5516
1974-07-01,7.7601
1974-10-01,6.7456
1975-01-01,5.8602
1975-04-01,6.0178
1975-07-01,6.7745
1975-10-01,7.0433
1976-01-01,7.2894
1976-04-01,7.3718
1976-07-01,7.3594
1976-10-01,7.1909
1977-01-01,7.5343
1977-04-01,7.7217
1977-07-01,7.7954
1977-10-01,7.6807
1978-01-01,7.8056
1978-04-01,8.1806
1978-07-01,8.2528
1978-10-01,8.4738
1979-01-01,8.4237
1979-04-01,8.5363
1979-07-01,8.4724
1979-10-01,8.1694
1980-01-01,7.9997
1980-04-01,6.9508
1980-07-01,7.0619
1980-10-01,6.9676
1981-01-01,6.7842
1981-04-01,6.3271
1981-07-01,6.2908
1981-10-01,6.1471
1982-01-01,5.5419
1982-04-01,5.5006
1982-07-01,5.3052
1982-10-01,5.0668
1983-01-01,5.009
1983-04-01,5.4012
1983-07-01,5.5491
1983-10-01,5.5451
1984-01-01,5.61
1984-04-01,5.497
1984-07-01,5.1867
1984-10-01,5.1371
1985-01-01,4.8188
1985-04-01,4.7636
1985-07-01,4.7487
1985-10-01,4.7202
1986-01-01,3.8747
1986-04-01,3.7671
1986-07-01,3.7091
1986-10-01,3.8057
1987-01-01,4.0593
1987-04-01,4.5902
1987-07-01,4.8256
1987-10-01,4.8654
1988-01-01,4.9715
1988-04-01,5.1372
1988-07-01,5.0329
1988-10-01,5.1632
1989-01-01,5.0553
1989-04-01,4.8671
1989-07-01,4.6149
1989-10-01,4.5761
1990-01-01,4.6452
1990-04-01,4.7822
1990-07-01,4.8075
1990-10-01,4.802
1991-01-01,4.9625
1991-04-01,4.9714
1991-07-01,5.0022
1991-10-01,5.0459
1992-01-01,5.1831
1992-04-01,5.3248
1992-07-01,5.0049
1992-10-01,5.0301
1993-01-01,4.9727
1993-04-01,5.1257
1993-07-01,5.2616
1993-10-01,5.4528
1994-01-01,5.8079
1994-04-01,5.8994
1994-07-01,6.1312
1994-10-01,6.2121
1995-01-01,6.3484
1995-04-01,6.6128
1995-07-01,6.6289
1995-10-01,6.651
1996-01-01,6.8273
