date,value
1947-01-01,-1.0277
1947-04-01,-0.8591
1947-07-01,0.1519
1947-10-01,-2.1637
1948-01-01,-1.9312
1948-04-01,-0.9506
1948-07-01,0.4026
1948-10-01,0.9637
1949-01-01,2.1743
1949-04-01,3.3532
1949-07-01,3.4417
1949-10-01,3.4808
1950-01-01,4.1079
1950-04-01,0.1935
1950-07-01,-3.1153
1950-10-01,-3.1355
1951-01-01,-3.7824
1951-04-01,-1.4752
1951-07-01,0.1451
1951-10-01,-0.2044
1952-01-01,-0.3299
1952-04-01,0.6706
1952-07-01,1.2989
1952-10-01,0.6473
1953-01-01,0.3812
1953-04-01,0.847
1953-07-01,0.6629
1953-10-01,2.396
1954-01-01,2.5286
1954-04-01,2.1649
1954-07-01,1.9368
1954-10-01,1.5758
1955-01-01,0.7125
1955-04-01,0.1267
1955-07-01,0.1648
1955-10-01,-0.4372
1956-01-01,-0.5194
1956-04-01,-0.1652
1956-07-01,-0.2671
1956-10-01,-0.3036
1957-01-01,-0.076
1957-04-01,0.3288
1957-07-01,0.3322
1957-10-01,1.6243
1958-01-01,2.1829
1958-04-01,3.176
1958-07-01,2.5652
1958-10-01,2.1173
1959-01-01,0.8947
1959-04-01,0.3536
1959-07-01,0.811
1959-10-01,0.9376
1960-01-01,-0.865
1960-04-01,-0.2303
1960-07-01,0.0728
1960-10-01,0.91
1961-01-01,0.8596
1961-04-01,1.1517
1961-07-01,0.866
1961-10-01,0.5041
1962-01-01,0.9067
1962-04-01,0.9479
1962-07-01,0.8006
1962-10-01,0.9027
1963-01-01,0.5575
1963-04-01,0.1777
1963-07-01,0.2622
1963-10-01,0.3623
1964-01-01,0.8281
1964-04-01,1.5007
1964-07-01,0.9724
1964-10-01,0.7327
1965-01-01,0.1357
1965-04-01,0.2792
1965-07-01,1.2567
1965-10-01,1.2479
1966-01-01,0.5146
1966-04-01,0.7029
1966-07-01,0.959
1966-10-01,1.2405
1967-01-01,2.287
1967-04-01,2.4143
1967-07-01,2.1773
1967-10-01,2.208
1968-01-01,1.8696
1968-04-01,1.9963
1968-07-01,1.0612
1968-10-01,0.9633
1969-01-01,-0.2229
1969-04-01,0.1547
1969-07-01,0.8406
1969-10-01,1.2131
1970-01-01,2.1203
1970-04-01,3.0619
1970-07-01,3.6418
1970-10-01,4.1101
1971-01-01,4.0158
1971-04-01,4.54
1971-07-01,4.3969
1971-10-01,4.5132
1972-01-01,3.7182
1972-04-01,4.0343
1972-07-01,3.1664
1972-10-01,4.3896
1973-01-01,2.9416
1973-04-01,2.8883
1973-07-01,2.6043
1973-10-01,2.3394
1974-01-01,2.4226
1974-04-01,2.4881
1974-07-01,2.3709
1974-10-01,3.3888
1975-01-01,4.7168
1975-04-01,8.0444
1975-07-01,5.3142
1975-10-01,5.2061
1976-01-01,4.4999
1976-04-01,4.1434
1976-07-01,4.2807
1976-10-01,4.3507
1977-01-01,3.6974
1977-04-01,3.286
1977-07-01,3.5426
1977-10-01,3.5878
1978-01-01,3.7043
1978-04-01,2.6705
1978-07-01,2.3381
1978-10-01,1.9499
1979-01-01,1.7835
1979-04-01,1.6424
1979-07-01,1.8193
1979-10-01,1.9569
1980-01-01,2.3717
1980-04-01,3.3347
1980-07-01,3.643
1980-10-01,3.0658
1981-01-01,2.379
1981-04-01,2.4894
1981-07-01,2.6621
1981-10-01,3.4272
1982-01-01,4.1738
1982-04-01,4.3001
1982-07-01,5.3267
1982-10-01,6.1765
1983-01-01,6.0069
1983-04-01,5.6784
1983-07-01,5.9576
1983-10-01,5.1929
1984-01-01,4.6641
1984-04-01,4.7643
1984-07-01,4.8882
1984-10-01,5.137
1985-01-01,4.0435
1985-04-01,5.155
1985-07-01,4.5731
1985-10-01,4.5885
1986-01-01,4.5809
1986-04-01,5.0153
1986-07-01,5.0426
1986-10-01,4.2284
1987-01-01,4.1837
1987-04-01,2.9962
1987-07-01,3.1861
1987-10-01,3.3098
1988-01-01,3.2842
1988-04-01,3.0571
1988-07-01,2.9014
1988-10-01,2.9867
1989-01-01,2.5418
1989-04-01,2.8778
1989-07-01,2.9071
1989-10-01,2.963
1990-01-01,3.3823
1990-04-01,3.4899
1990-07-01,3.3178
1990-10-01,3.4456
1991-01-01,3.078
1991-04-01,3.9929
1991-07-01,4.4032
1991-10-01,4.6287
1992-01-01,5.1176
1992-04-01,5.0792
1992-07-01,5.2413
1992-10-01,5.0823
1993-01-01,5.0151
1993-04-01,4.5349
1993-07-01,4.6333
1993-10-01,4.1207
1994-01-01,3.7817
1994-04-01,3.2919
1994-07-01,3.5029
1994-10-01,3.4612
1995-01-01,3.3825
1995-04-01,3.2054
1995-07-01,3.2148
1995-10-01,2.8819
1996-01-01,2.8569
1996-04-01,2.2427
1996-07-01,2.0985
1996-10-01,1.7185
1997-01-01,1.4525
1997-04-01,1.2211
1997-07-01,0.7913
1997-10-01,0.8421
1998-01-01,0.2766
1998-04-01,0.1155
1998-07-01,-0.2183
1998-10-01,-0.2213
1999-01-01,-0.5102
1999-04-01,-0.7162
1999-07-01,-0.7398
1999-10-01,-0.895
2000-01-01,-1.7542
2000-04-01,-1.4407
2000-07-01,-1.5279
2000-10-01,-1.514
2001-01-01,-1.2266
2001-04-01,-0.8942
2001-07-01,1.2269
2001-10-01,0.3098
2002-01-01,2.0942
2002-04-01,2.4079
2002-07-01,2.537
2002-10-01,2.7537
2003-01-01,2.9572
2003-04-01,3.4232
2003-07-01,4.0585
2003-10-01,3.4181
2004-01-01,3.5977
2004-04-01,3.2768
2004-07-01,2.9742
2004-10-01,3.0501
2005-01-01,2.3907
2005-04-01,2.3732
2005-07-01,2.2871
2005-10-01,1.9703
2006-01-01,1.8037
2006-04-01,1.6765
2006-07-01,1.5346
2006-10-01,1.4178
2007-01-01,1.4761
2007-04-01,1.6039
2007-07-01,1.9156
2007-10-01,2.167
2008-01-01,2.751
2008-04-01,5.2231
2008-07-01,4.1583
2008-10-01,4.7863
2009-01-01,7.6248
2009-04-01,9.0454
2009-07-01,9.0485
2009-10-01,8.6281
2010-01-01,9.1057
2010-04-01,8.8453
2010-07-01,8.646
2010-10-01,8.4578
2011-01-01,8.1061
2011-04-01,8.1916
2011-07-01,7.7868
2011-10-01,7.5702
2012-01-01,6.9103
2012-04-01,6.7447
2012-07-01,6.6592
2012-10-01,6.0929
2013-01-01,4.6507
2013-04-01,3.1759
2013-07-01,4.1489
2013-10-01,3.0642
2014-01-01,3.2363
2014-04-01,3.3122
2014-07-01,3.5268
2014-10-01,3.4131
2015-01-01,3.2036
2015-04-01,2.9835
2015-07-01,3.0717
2015-10-01,2.9316
2016-01-01,3.4479
2016-04-01,3.4981
2016-07-01,3.6086
2016-10-01,3.6361
2017-01-01,3.683
2017-04-01,3.7441
2017-07-01,3.7669
2017-10-01,3.8304
2018-01-01,4.3499
2018-04-01,4.3781
2018-07-01,4.2301
2018-10-01,4.5912
2019-01-01,4.9056
2019-04-01,4.9324
2019-07-01,4.9025
2019-10-01,4.6478
2020-01-01,4.9441
2020-04-01,26.8403
2020-07-01,15.5569
2020-10-01,8.9871
2021-01-01,18.5662
2021-04-01,14.4519
2021-07-01,9.4756
2021-10-01,6.2505
2022-01-01,3.674
2022-04-01,3.6537
2022-07-01,3.9084
2022-10-01,4.5407
2023-01-01,6.1786
2023-04-01,6.256
2023-07-01,6.1375
2023-10-01,6.127
2024-01-01,6.271
2024-04-01,6.2014
2024-07-01,6.6264
2024-10-01,6.486
2025-01-01,6.394
2025-04-01,6.2081
2025-07-01,5.7452
2025-10-01,5.363
2026-01-01,5.6712
2026-04-01,5.4945
