date,value
1947-10-01,4.2366
1948-10-01,3.9622
1949-10-01,5.336
1950-10-01,4.0113
1951-10-01,6.5346
1952-01-01,6.8653
1952-04-01,7.4011
1952-07-01,7.2676
1952-10-01,6.1733
1953-01-01,5.813
1953-04-01,5.4269
1953-07-01,5.3417
1953-10-01,7.4457
1954-01-01,7.1274
1954-04-01,7.659
1954-07-01,8.0622
1954-10-01,7.6363
1955-01-01,7.0714
1955-04-01,7.7599
1955-07-01,8.0754
1955-10-01,7.849
1956-01-01,8.5731
1956-04-01,8.0361
1956-07-01,8.1703
1956-10-01,8.4185
1957-01-01,7.8953
1957-04-01,8.8423
1957-07-01,8.1057
1957-10-01,8.8012
1958-01-01,10.7823
1958-04-01,11.3238
1958-07-01,11.4743
1958-10-01,10.6596
1959-01-01,10.1514
1959-04-01,9.7741
1959-07-01,10.4767
1959-10-01,11.3316
1960-01-01,9.8027
1960-04-01,10.7572
1960-07-01,10.3563
1960-10-01,12.2039
1961-01-01,14.0421
1961-04-01,13.4184
1961-07-01,13.1083
1961-10-01,12.6514
1962-01-01,12.1585
1962-04-01,9.2869
1962-07-01,9.5391
1962-10-01,11.4475
1963-01-01,12.2039
1963-04-01,12.1346
1963-07-01,12.2986
1963-10-01,11.4476
1964-01-01,11.147
1964-04-01,11.5119
1964-07-01,11.6223
1964-10-01,12.0856
1965-01-01,11.0423
1965-04-01,10.2608
1965-07-01,10.9858
1965-10-01,11.0259
1966-01-01,10.4317
1966-04-01,9.9196
1966-07-01,8.9598
1966-10-01,9.5257
1967-01-01,11.3424
1967-04-01,11.6058
1967-07-01,12.0019
1967-10-01,11.9707
1968-01-01,11.0971
1968-04-01,12.0793
1968-07-01,11.9385
1968-10-01,13.4691
1969-01-01,12.9593
1969-04-01,12.8364
1969-07-01,12.6881
1969-10-01,12.1954
1970-01-01,12.2509
1970-04-01,9.8171
1970-07-01,11.2904
1970-10-01,13.1674
1971-01-01,12.8807
1971-04-01,12.4746
1971-07-01,11.5052
1971-10-01,11.9886
1972-01-01,11.9837
1972-04-01,11.855
1972-07-01,11.606
1972-10-01,12.373
1973-01-01,10.1603
1973-04-01,9.1266
1973-07-01,9.4278
1973-10-01,7.6192
1974-01-01,6.9624
1974-04-01,6.2611
1974-07-01,4.4648
1974-10-01,5.1679
1975-01-01,7.2328
1975-04-01,7.9643
1975-07-01,6.0585
1975-10-01,6.0834
1976-01-01,6.5431
1976-04-01,6.5012
1976-07-01,6.4634
1976-10-01,6.6677
1977-01-01,5.7205
1977-04-01,5.5563
1977-07-01,5.1186
1977-10-01,4.9279
1978-01-01,4.501
1978-04-01,4.3683
1978-07-01,4.5321
1978-10-01,4.0799
1979-01-01,4.2798
1979-04-01,4.1644
1979-07-01,4.3413
1979-10-01,4.5603
1980-01-01,4.2876
1980-04-01,5.5371
1980-07-01,6.0182
1980-10-01,6.473
1981-01-01,6.3741
1981-04-01,6.5761
1981-07-01,5.5389
1981-10-01,6.0773
1982-01-01,6.0092
1982-04-01,5.858
1982-07-01,6.567
1982-10-01,8.0422
1983-01-01,8.8159
1983-04-01,8.9846
1983-07-01,8.3507
1983-10-01,7.7489
1984-01-01,6.9686
1984-04-01,6.606
1984-07-01,7.285
1984-10-01,7.2902
1985-01-01,8.2
1985-04-01,8.5246
1985-07-01,7.8841
1985-10-01,9.1416
1986-01-01,12.2384
1986-04-01,13.1137
1986-07-01,11.8937
1986-10-01,12.6479
1987-01-01,14.1343
1987-04-01,12.623
1987-07-01,12.4965
1987-10-01,9.3888
1988-01-01,9.596
1988-04-01,9.4369
1988-07-01,9.2543
1988-10-01,9.1802
1989-01-01,9.5855
1989-04-01,10.3866
